Date,Open,High,Low,Close,Adj Close,Volume
03-01-1995,10.218671,10.26429,9.76248,10.173051,3.674593,5664298
04-01-1995,10.218671,10.446766,10.218671,10.446766,3.773461,7163124
05-01-1995,10.538004,10.583623,10.081813,10.355528,3.740504,9270247
06-01-1995,10.401147,10.538004,10.309909,10.355528,3.740504,4497845
09-01-1995,10.401147,10.583623,10.355528,10.538004,3.806417,6810201
10-01-1995,10.583623,10.674861,10.355528,10.355528,3.740504,9240654
11-01-1995,10.446766,10.446766,10.173051,10.355528,3.740504,5517978
12-01-1995,10.401147,10.446766,10.26429,10.26429,3.707549,6770196
13-01-1995,10.309909,10.446766,10.309909,10.446766,3.773461,4768840
16-01-1995,10.446766,10.583623,10.355528,10.583623,3.822893,5727868
17-01-1995,10.492385,10.538004,10.401147,10.492385,3.789938,5365355
18-01-1995,10.446766,10.492385,10.218671,10.309909,3.724026,7362328
19-01-1995,10.173051,10.492385,9.944956,10.036194,3.625158,6812941
20-01-1995,9.944956,9.990575,9.443146,9.625623,3.476857,20386214
23-01-1995,9.397527,9.580004,9.215051,9.580004,3.460376,22259334
24-01-1995,9.443146,9.534385,9.397527,9.397527,3.428425,17840677
25-01-1995,9.306289,9.625623,9.306289,9.534385,3.478352,9603989
26-01-1995,9.443146,9.443146,9.26067,9.26067,3.378496,8363280
27-01-1995,9.351908,9.397527,9.215051,9.26067,3.378496,7051602
30-01-1995,9.26067,9.397527,8.986956,9.032575,3.295282,19513497
31-01-1995,9.123813,9.26067,9.032575,9.215051,3.361852,12652331
01-02-1995,9.169432,9.534385,9.032575,9.169432,3.34521,26224233
02-02-1995,9.215051,9.351908,9.078194,9.351908,3.411781,11419842
03-02-1995,9.443146,9.443146,9.123813,9.397527,3.428425,14949616
06-02-1995,9.397527,9.397527,9.26067,9.351908,3.411781,10207081
07-02-1995,9.351908,9.488765,9.26067,9.26067,3.378496,8387940
08-02-1995,9.306289,9.351908,9.169432,9.306289,3.395138,8676471
09-02-1995,9.26067,9.351908,9.215051,9.215051,3.361852,11529993
10-02-1995,9.26067,9.443146,9.215051,9.443146,3.445066,11738787
13-02-1995,9.488765,9.534385,9.351908,9.397527,3.428425,11361478
14-02-1995,9.397527,9.534385,9.306289,9.534385,3.478352,8267103
15-02-1995,9.534385,9.716861,9.488765,9.534385,3.478352,11382577
16-02-1995,9.580004,9.625623,9.488765,9.568599,3.490835,5611141
17-02-1995,9.580004,9.671242,9.534385,9.580004,3.494995,7006391
21-02-1995,9.625623,9.671242,9.580004,9.580004,3.494995,6253964
22-02-1995,9.625623,9.76248,9.580004,9.716861,3.544923,8281625
23-02-1995,9.76248,9.808099,9.671242,9.716861,3.544923,15754926
24-02-1995,9.671242,9.76248,9.625623,9.76248,3.561568,5377412
27-02-1995,9.76248,9.808099,9.488765,9.488765,3.461711,7353559
28-02-1995,9.534385,9.671242,9.488765,9.534385,3.478352,10955124
01-03-1995,9.488765,9.580004,9.306289,9.351908,3.411781,14704105
02-03-1995,9.351908,9.351908,9.123813,9.26067,3.378496,13803439
03-03-1995,9.215051,9.534385,9.123813,9.351908,3.411781,7686753
06-03-1995,9.306289,9.351908,9.123813,9.306289,3.395138,6595927
07-03-1995,9.215051,9.488765,9.169432,9.306289,3.395138,8061049
08-03-1995,9.306289,9.351908,9.169432,9.26067,3.378496,9462601
09-03-1995,9.306289,9.443146,9.306289,9.397527,3.428425,11203649
10-03-1995,9.488765,9.76248,9.443146,9.716861,3.544923,9131325
13-03-1995,9.76248,9.808099,9.397527,9.808099,3.578209,4519766
14-03-1995,9.853718,9.853718,9.534385,9.580004,3.494995,7272727
15-03-1995,9.625623,9.625623,9.397527,9.534385,3.478352,8558648
16-03-1995,9.580004,9.625623,9.443146,9.488765,3.461711,4968866
17-03-1995,9.488765,9.488765,9.351908,9.397527,3.428425,7286153
20-03-1995,9.351908,9.397527,9.215051,9.26067,3.378496,6036676
21-03-1995,9.215051,9.351908,9.169432,9.26067,3.378496,7077907
22-03-1995,9.215051,9.26067,9.078194,9.169432,3.34521,16105931
23-03-1995,9.123813,9.169432,9.032575,9.169432,3.34521,12887704
24-03-1995,9.123813,9.351908,9.123813,9.306289,3.395138,15500647
