Date,Open,High,Low,Close,Adj Close,Volume
03-01-1995,8.8125,8.84375,8.78125,8.84375,5.989489,3200
04-01-1995,8.875,8.875,8.8125,8.875,6.010653,6400
05-01-1995,8.78125,8.8125,8.78125,8.8125,5.968323,46000
06-01-1995,8.78125,8.78125,8.65625,8.65625,5.862502,25600
09-01-1995,8.75,8.78125,8.6875,8.78125,5.947159,18800
10-01-1995,8.84375,8.90625,8.78125,8.875,6.010653,64000
11-01-1995,8.875,8.9375,8.875,8.9375,6.052984,30000
12-01-1995,8.90625,8.9375,8.90625,8.90625,6.031818,7600
13-01-1995,8.96875,8.96875,8.90625,8.96875,6.074142,22000
16-01-1995,8.96875,8.96875,8.90625,8.96875,6.074142,7600
17-01-1995,8.84375,8.84375,8.75,8.78125,5.947159,30000
18-01-1995,8.65625,8.65625,8.59375,8.625,5.841337,37600
19-01-1995,8.25,8.28125,8.21875,8.25,5.587366,111200
20-01-1995,8.28125,8.3125,8.28125,8.3125,5.629696,23600
23-01-1995,8,8.03125,7.96875,8.03125,5.439216,86000
24-01-1995,8.09375,8.1875,8.09375,8.15625,5.523874,63600
25-01-1995,8.1875,8.1875,8.125,8.125,5.502711,39600
26-01-1995,8.1875,8.1875,8.125,8.1875,5.545037,10000
27-01-1995,8.15625,8.15625,8.125,8.15625,5.523874,16400
30-01-1995,8.1875,8.1875,8.15625,8.1875,5.545037,12400
31-01-1995,7.96875,7.96875,7.9375,7.9375,5.375722,19200
01-02-1995,7.75,7.75,7.71875,7.75,5.248737,35200
02-02-1995,7.71875,7.71875,7.625,7.6875,5.206409,18400
03-02-1995,7.6875,7.8125,7.6875,7.8125,5.291066,16000
06-02-1995,7.875,7.9375,7.875,7.90625,5.354559,14000
07-02-1995,7.875,7.875,7.71875,7.8125,5.291066,23200
08-02-1995,7.8125,7.84375,7.78125,7.8125,5.291066,16400
09-02-1995,7.6875,7.6875,7.625,7.625,5.164081,14800
10-02-1995,7.625,7.6875,7.625,7.6875,5.206409,7600
13-02-1995,7.71875,7.75,7.71875,7.75,5.248737,30000
14-02-1995,7.78125,7.78125,7.71875,7.78125,5.269904,23200
15-02-1995,7.75,7.84375,7.75,7.84375,5.312231,28000
16-02-1995,7.65625,7.78125,7.65625,7.78125,5.269904,50000
17-02-1995,7.8125,7.96875,7.8125,7.96875,5.396888,16800
21-02-1995,7.96875,8.03125,7.9375,8.03125,5.439216,33200
22-02-1995,7.96875,8,7.9375,8,5.418054,10800
23-02-1995,8,8,7.96875,8,5.418054,18800
24-02-1995,7.9375,7.9375,7.84375,7.875,5.333395,14800
27-02-1995,7.75,7.75,7.65625,7.65625,5.185246,9600
28-02-1995,7.6875,7.71875,7.6875,7.71875,5.227572,87600
01-03-1995,7.71875,7.71875,7.65625,7.71875,5.227572,20400
02-03-1995,7.78125,7.8125,7.71875,7.71875,5.227572,45600
03-03-1995,7.75,7.84375,7.75,7.8125,5.291066,17200
06-03-1995,7.9375,7.96875,7.9375,7.96875,5.396888,42400
07-03-1995,8,8.09375,8,8,5.418054,91200
08-03-1995,8.03125,8.0625,7.9375,8,5.418054,54800
