Date,Open,High,Low,Close,Adj Close,Volume
03-01-1995,42,42.125,41.75,41.75,29.963711,6100
04-01-1995,41.5,41.625,41.375,41.375,29.694572,1400
05-01-1995,41.625,41.75,41.625,41.625,29.873993,2500
06-01-1995,41.375,41.625,41.375,41.5,29.784286,3400
09-01-1995,41.625,41.625,41.5,41.625,29.873993,1700
10-01-1995,41.375,41.375,41.25,41.25,29.604862,3900
11-01-1995,41.75,42,41.75,41.75,29.963711,2000
12-01-1995,41.625,41.875,41.625,41.75,29.963711,14700
13-01-1995,41.625,42,41.625,41.625,29.873993,5200
16-01-1995,41.875,42,41.875,42,30.143139,8100
17-01-1995,42,42,41.625,41.625,29.873993,3900
18-01-1995,41.625,41.75,41.375,41.375,29.694572,15300
19-01-1995,40.875,41,40.75,40.875,29.335722,25500
20-01-1995,40.625,40.625,39.875,40,28.707739,10600
23-01-1995,38.125,38.5,38.125,38.5,27.631197,9200
24-01-1995,38.75,39,38.75,38.75,27.810631,5500
25-01-1995,38.875,39,38.75,38.75,27.810631,35800
26-01-1995,38.875,38.875,38.625,38.625,27.720913,13100
27-01-1995,38.5,38.75,38.5,38.5,27.631197,3700
30-01-1995,38.75,39.625,38.75,39.375,28.259182,129400
31-01-1995,38.75,38.75,38.25,38.5,27.631197,8500
01-02-1995,37.875,38,37.875,37.875,27.182638,47900
02-02-1995,37.875,38.125,37.75,38.125,27.362064,4600
03-02-1995,37.625,37.875,37.625,37.625,27.003225,5000
06-02-1995,37.875,37.875,37.625,37.625,27.003225,14900
07-02-1995,37.875,37.875,37.625,37.625,27.003225,17800
08-02-1995,37.5,37.75,37.5,37.75,27.092939,1900
09-02-1995,37.25,37.375,37.125,37.25,26.734083,6800
10-02-1995,37.5,37.625,37.375,37.375,26.823803,9600
13-02-1995,37.625,37.75,37.5,37.5,26.913506,3500
14-02-1995,37,37.125,37,37.125,26.644375,7100
15-02-1995,37.125,37.125,36.875,37,26.554668,4500
16-02-1995,36.875,36.875,36.5,36.75,26.375237,3500
17-02-1995,36.875,37.25,36.875,36.875,26.464949,6100
21-02-1995,36.875,37.25,36.875,37.25,26.734083,3300
22-02-1995,36.75,37.125,36.75,37,26.554668,20800
23-02-1995,36.75,36.75,36.5,36.5,26.19582,9200
24-02-1995,35.75,36,35.75,35.75,25.657551,3100
27-02-1995,35,35.125,34.75,34.75,24.939861,30500
28-02-1995,35.875,36,35.75,35.875,25.747259,26000
01-03-1995,35.75,35.875,35.625,35.875,25.747259,8900
02-03-1995,36,36.25,35.875,35.875,25.747259,6500
03-03-1995,36.25,36.25,36,36.25,26.016396,53000
06-03-1995,36.875,37.125,36.875,37.125,26.644375,18100
07-03-1995,37.125,37.375,37.125,37.375,26.823803,3300
08-03-1995,37.125,37.375,37,37,26.554668,3000
09-03-1995,37,37.125,36.75,37.125,26.644375,8800
10-03-1995,36.25,36.5,36.25,36.25,26.016396,4800
13-03-1995,36.875,37.125,36.75,37.125,26.644375,5500
14-03-1995,36.375,36.375,36.125,36.125,25.926685,5000
15-03-1995,37.125,37.25,37.125,37.25,26.734083,19600
16-03-1995,37.125,37.375,37.125,37.125,26.644375,6700
17-03-1995,37.125,37.25,37,37,26.554668,20600
20-03-1995,37,37.25,37,37.25,26.734083,1200
21-03-1995,37,37.25,37,37,26.554668,1800
22-03-1995,37,37,36.75,36.75,26.375237,8700
23-03-1995,36.75,37.125,36.75,36.875,26.464949,2800
24-03-1995,36.75,37.125,36.75,37,26.684933,800
27-03-1995,37,37.25,37,37.25,26.865223,16200
28-03-1995,38.125,38.25,38,38,27.406141,8500
29-03-1995,38.125,38.375,38.125,38.125,27.496288,6000
30-03-1995,38.625,39,38.625,38.625,27.85689,600
31-03-1995,40,40,39.75,39.75,28.668259,9900
03-04-1995,39.5,39.75,39.25,39.375,28.397804,20200
04-04-1995,39.5,39.75,39.5,39.75,28.668259,4600
05-04-1995,39.75,40,39.75,39.875,28.758419,7000
06-04-1995,39.75,40.125,39.75,40.125,28.938728,4400
07-04-1995,40.25,40.375,40.125,40.125,28.938728,13900
